show_id,type,title,director,cast,country,date_added,release_year,rating,genres,language,description,popularity,vote_count,vote_average,budget,revenue,poster_url,updated_type,duration_mins,content_rating
27205,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page","United Kingdom, United States of America",2010-07-15,2010,8.369,"Action, Science Fiction, Adventure",en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",156.242,37119,8.369,160000000,839030630,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,,,
10191,Movie,How to Train Your Dragon,"Chris Sanders, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill",United States of America,2010-03-18,2010,7.8,"Fantasy, Adventure, Animation, Family",en,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast â€“ which he names Toothless â€“ much to the chagrin of his warrior father.",110.044,13259,7.8,165000000,494879471,https://image.tmdb.org/t/p/w500/53dsJ3oEnBhTBVMigWJ9tkA5bzJ.jpg,,,
11324,Movie,Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",United States of America,2010-02-14,2010,8.2,"Drama, Thriller, Mystery",en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",101.551,24282,8.2,80000000,294804195,https://image.tmdb.org/t/p/w500/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,movie,138,
38575,Movie,The Karate Kid,Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Wang ZhenWei","China, Hong Kong, United States of America",2010-06-10,2010,6.5,"Action, Adventure, Drama, Family",en,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",96.385,6082,6.5,40000000,359126022,https://image.tmdb.org/t/p/w500/b1RBy3l297N0c7PHjlz35cClWju.jpg,movie,140,PG
10138,Movie,Iron Man 2,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",United States of America,2010-04-28,2010,6.8,"Adventure, Action, Science Fiction",en,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances â€“ and confront powerful enemies.",95.255,21222,6.8,200000000,623933331,https://image.tmdb.org/t/p/w500/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,,,
38365,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider",United States of America,2010-06-24,2010,6.394,Comedy,en,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",93.281,6212,6.394,80000000,271430189,https://image.tmdb.org/t/p/w500/ys0LscDFAuZxfUcpH5moiPeFfXs.jpg,,,
20352,Movie,Despicable Me,"Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Miranda Cosgrove, Elsie Fisher, Dana Gaier",United States of America,2010-07-08,2010,7.2,"Animation, Family, Comedy",en,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",86.361,15258,7.2,69000000,543284256,https://image.tmdb.org/t/p/w500/9lOloREsAhBu0pEtU0BgeR1rHyo.jpg,movie,95,
10193,Movie,Toy Story 3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn",United States of America,2010-06-16,2010,7.8,"Animation, Family, Comedy",en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",83.097,14847,7.8,200000000,1067316101,https://image.tmdb.org/t/p/w500/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,,,
12155,Movie,Alice in Wonderland,Tim Burton,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover",United States of America,2010-03-03,2010,6.6,"Family, Fantasy, Adventure",en,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",80.326,14114,6.6,200000000,1025467110,https://image.tmdb.org/t/p/w500/ipLBlkU7IXDS6bMgpG4cv92eHwG.jpg,tv,30,
73861,Movie,A Serbian Film,SrÄ‘an SpasojeviÄ‡,"SrÄ‘an 'Å½ika' TodoroviÄ‡, Sergej TrifunoviÄ‡, Jelena GavriloviÄ‡, Slobodan BeÅ¡tiÄ‡, Katarina Å½utiÄ‡",Serbia,2010-06-16,2010,5.471,"Crime, Horror, Thriller",sr,"Retired porn star Milos leads a normal family life trying to make ends meet. Presented with the opportunity of a lifetime to financially support his family for the rest of their lives, Milos must participate in one last mysterious film. From then on, Milos is drawn into a maelstrom of unbelievable cruelty and mayhem.",74.238,2018,5.471,0,0,https://image.tmdb.org/t/p/w500/cToUzXZ9AcUylfIt8vnXhiy6Y9m.jpg,,,
