subscription_id,user_id,plan_type,monthly_fee,start_date,end_date,status
1,1,Basic,199,2018-08-11,,Active
2,2,Basic,199,2024-12-25,,Active
3,3,Premium,649,2021-05-29,,Active
4,4,Premium,649,2021-10-18,,Active
5,5,Standard,499,2018-11-26,,Active
6,6,Standard,499,2018-08-08,2019-08-08,Cancelled
7,7,Standard,499,2022-10-14,2025-02-14,Cancelled
8,8,Basic,199,2021-04-28,,Active
9,9,Basic,199,2022-01-28,,Active
10,10,Basic,199,2018-10-15,,Active
11,11,Standard,499,2023-12-23,,Active
12,12,Standard,499,2022-01-06,2024-01-06,Cancelled
13,13,Standard,499,2019-03-24,,Active
14,14,Standard,499,2021-12-26,,Active
15,15,Standard,499,2019-11-08,,Active
16,16,Basic,199,2023-09-09,2025-09-09,Cancelled
17,17,Standard,499,2022-04-24,2024-09-24,Cancelled
18,18,Basic,199,2021-02-02,,Active
19,19,Basic,199,2025-12-22,,Active
20,20,Standard,499,2018-12-05,,Active
21,21,Premium,649,2019-09-06,,Active
22,22,Basic,199,2025-02-02,2029-04-02,Cancelled
23,23,Basic,199,2022-06-28,,Active
24,24,Standard,499,2019-11-24,,Active
25,25,Standard,499,2019-07-08,,Active
26,26,Basic,199,2025-09-09,,Active
27,27,Basic,199,2025-08-01,,Active
28,28,Basic,199,2024-01-01,,Active
29,29,Standard,499,2021-11-25,2022-11-25,Cancelled
30,30,Basic,199,2022-04-05,,Active
31,31,Basic,199,2019-01-09,,Active
32,32,Standard,499,2024-09-16,2027-10-16,Cancelled
33,33,Basic,199,2021-10-29,,Active
34,34,Premium,649,2022-03-29,2026-03-29,Cancelled
35,35,Standard,499,2020-03-21,,Active
36,36,Premium,649,2019-10-05,,Active
37,37,Premium,649,2018-07-07,,Active
38,38,Premium,649,2019-04-28,,Active
39,39,Premium,649,2018-10-22,,Active
40,40,Basic,199,2023-08-23,,Active
41,41,Standard,499,2018-01-27,2019-01-27,Cancelled
42,42,Standard,499,2024-01-30,2028-10-30,Cancelled
43,43,Basic,199,2020-12-19,,Active
44,44,Standard,499,2019-02-06,2020-02-06,Cancelled
45,45,Premium,649,2022-12-31,,Active
46,46,Standard,499,2024-11-09,,Active
47,47,Basic,199,2019-03-02,,Active
48,48,Premium,649,2021-05-07,2025-02-07,Cancelled
49,49,Premium,649,2025-02-25,2029-04-25,Cancelled
50,50,Premium,649,2024-08-27,2026-07-27,Cancelled
51,51,Premium,649,2020-03-03,2021-01-03,Cancelled
52,52,Premium,649,2020-03-14,2023-04-14,Cancelled
53,53,Basic,199,2020-02-05,2023-06-05,Cancelled
54,54,Basic,199,2021-03-17,,Active
55,55,Basic,199,2018-06-20,,Active
56,56,Basic,199,2019-12-08,2020-11-08,Cancelled
57,57,Basic,199,2020-02-09,,Active
58,58,Premium,649,2018-07-15,2022-05-15,Cancelled
59,59,Basic,199,2018-12-20,,Active
60,60,Basic,199,2021-05-26,,Active
61,61,Basic,199,2018-11-24,,Active
62,62,Premium,649,2020-10-18,2023-07-18,Cancelled
63,63,Standard,499,2023-07-13,,Active
64,64,Premium,649,2023-07-10,2024-11-10,Cancelled
65,65,Basic,199,2024-12-27,2029-05-27,Cancelled
66,66,Basic,199,2025-07-13,2026-10-13,Cancelled
67,67,Premium,649,2021-07-31,2025-12-31,Cancelled
68,68,Standard,499,2020-12-25,2023-05-25,Cancelled
