history_id,user_id,show_id,watch_date,watch_duration_mins,device_type
1,9367,866346,19-01-2018,88,Mobile
2,9079,241554,10-10-2022,14,TV
3,9393,57431,03-01-2018,9,TV
4,5355,90369,05-10-2022,24,Mobile
5,10615,59006,14-02-2020,27,Tablet
6,10867,289143,22-11-2022,128,TV
7,11112,1142615,27-05-2021,36,Mobile
8,7904,75204,07-07-2021,90,Tablet
9,856,112200,25-09-2018,112,TV
10,6124,686941,13-08-2025,22,Tablet
11,10847,793605,09-08-2024,54,Mobile
12,927,174337,10-05-2020,22,TV
13,8022,95170,09-04-2024,40,Web
14,7131,212162,31-03-2018,52,Tablet
15,11519,146381,18-11-2023,39,Web
16,11792,1356890,27-10-2025,68,Mobile
17,6242,429199,22-12-2021,47,Mobile
18,9263,315335,02-01-2024,31,TV
19,6043,55741,04-06-2023,15,TV
20,10878,554908,13-02-2022,59,Tablet
21,7577,440424,22-05-2021,65,Tablet
22,8274,583083,26-03-2024,33,TV
23,4491,936960,03-01-2022,121,Mobile
24,3568,204082,29-05-2019,61,TV
25,10910,369697,27-02-2025,25,Web
26,5196,348672,12-07-2021,77,TV
27,2437,401513,23-12-2022,58,Web
28,7938,893086,17-05-2019,20,TV
29,619,305943,24-03-2018,109,Web
30,5135,49730,02-03-2020,26,Tablet
31,9340,750253,22-04-2024,47,Tablet
32,1730,753583,03-03-2025,112,TV
33,5885,623520,09-10-2023,67,Tablet
34,10696,589712,17-05-2019,45,TV
35,8080,261392,10-04-2024,13,Mobile
36,4224,1058078,14-12-2022,53,Tablet
37,5527,238603,08-10-2023,53,Mobile
38,9613,62835,10-04-2023,13,Tablet
39,9091,1177911,18-10-2025,49,Mobile
40,5055,778552,17-02-2025,109,Tablet
41,486,92395,21-12-2025,22,Web
42,11694,1422120,23-06-2022,34,Mobile
43,8784,365222,01-11-2023,32,TV
44,5967,40690,27-08-2024,85,Tablet
45,1116,254904,16-11-2022,53,Tablet
46,2421,675319,13-01-2023,41,Web
47,3773,1276011,28-07-2018,46,Web
48,3762,433694,23-01-2020,15,Tablet
49,10091,218726,07-01-2020,11,Tablet
50,227,441384,27-07-2025,70,Web
51,5919,146304,25-01-2022,97,Mobile
52,2119,252178,23-08-2018,108,TV
53,1841,842942,10-07-2025,142,Mobile
54,10634,76589,12-12-2018,49,TV
55,2089,253344,15-06-2025,76,TV
56,5102,626392,02-06-2022,56,Web
57,402,369059,13-08-2021,83,TV
58,2939,435129,15-10-2021,19,Web
